제목,작성자,작성일,조회수,좋아요
기프티콘,블루베리케이,2024.11.13.,241,N/A
N/A,블루베리케이,N/A,N/A,N/A
엄마 무식 수능 제2외국어 왜 해요.,dllb,2024.11.13.,549,N/A
N/A,dllb,N/A,N/A,N/A
"한국지리 서바이벌 1,2컷 보통 몇나오나요?",바른공부전용자습관,2024.11.13.,30,N/A
N/A,바른공부전용자습관,N/A,N/A,N/A
의대 너무 가고싶은데..,동굴이잉,2024.11.13.,256,N/A
N/A,동굴이잉,N/A,N/A,N/A
경기대 합경 가능성,룰루랄라헤,2024.11.13.,349,N/A
N/A,룰루랄라헤,N/A,N/A,N/A
최저 없으면 수능 안봐도 되는 거 맞죠??,YY0103,2024.11.13.,449,N/A
N/A,YY0103,N/A,N/A,N/A
생윤 예술파트(톨스토이) 질문이요!,그냥하학생,2024.11.13.,66,N/A
N/A,그냥하학생,N/A,N/A,N/A
수능 시험볼때 화장지 책상위에 두고 쓸 수 있나요?,Hxdxyx,2024.11.13.,314,N/A
N/A,Hxdxyx,N/A,N/A,N/A
수능전날 최저러 사문공부 어찌하시나요,동백꽃꽃,2024.11.13.,260,N/A
N/A,동백꽃꽃,N/A,N/A,N/A
전문대 패디과 추천해주세요,잭그릴리시,2024.11.13.,34,N/A
N/A,잭그릴리시,N/A,N/A,N/A
짝수형 조심하세요,최저맞춰야된다무조껀,2024.11.13.,1033,N/A
N/A,최저맞춰야된다무조껀,N/A,N/A,N/A
[빠지실분] 극동대 간호 지역인재1,혜쥔혜쥔,2024.11.13.,99,N/A
N/A,혜쥔혜쥔,N/A,N/A,N/A
내신기간인데 좋아하는 사람이 생겨서 집중이 안돼요.. 정신차리는 법 없을까요?,illlililiill,2024.11.13.,155,N/A
N/A,illlililiill,N/A,N/A,N/A
생윤 환경윤리,행운만땅뿅,2024.11.13.,72,N/A
N/A,행운만땅뿅,N/A,N/A,N/A
최저러분들 지금 머하고계시나요,졸ㄹㅕ배고파,2024.11.13.,492,N/A
N/A,졸ㄹㅕ배고파,N/A,N/A,N/A
[문제질문] 언매 질문,하히후헿,2024.11.13.,57,N/A
N/A,하히후헿,N/A,N/A,N/A
수능 시계 시간 조절 안 되는데 이게 맞나요,대학교가고광명찾자,2024.11.13.,478,N/A
N/A,대학교가고광명찾자,N/A,N/A,N/A
시계 테이프로 붙이는 것도,최초합하자꼬옥,2024.11.13.,205,N/A
N/A,최초합하자꼬옥,N/A,N/A,N/A
"간호학과 세특 주제 추천 (국어, 수학, 영어, 과학, 사회)",마약툰,2024.11.13.,55,N/A
N/A,마약툰,N/A,N/A,N/A
사문 난이도 예상,학종천국,2024.11.13.,305,N/A
N/A,학종천국,N/A,N/A,N/A
종치면 가채점표 쓴 건 책상 위에 올려놔야 하나요?,llililllilllll,2024.11.13.,456,N/A
N/A,llililllilllll,N/A,N/A,N/A
수정테이프,건국대보내주세요273,2024.11.13.,151,N/A
N/A,건국대보내주세요273,N/A,N/A,N/A
가채점표 스티커 지금 붙여도되나요?,댜댝,2024.11.13.,974,N/A
N/A,댜댝,N/A,N/A,N/A
수능 응시 필수,문을연다람쥐,2024.11.13.,182,N/A
N/A,문을연다람쥐,N/A,N/A,N/A
국어 감으로 푸는데 최저 맞출 수 있을까요?,lIlllIIlIllIIIll,2024.11.13.,307,N/A
N/A,lIlllIIlIllIIIll,N/A,N/A,N/A
가채점 그냥 수험표 뒤에 답만 우다다 쓴다해도 감독관한테 검사받아야하나요,illlilillliilll,2024.11.13.,542,N/A
N/A,illlilillliilll,N/A,N/A,N/A
생윤,정시당함,2024.11.13.,96,N/A
N/A,정시당함,N/A,N/A,N/A
도시락가방과 외투도 교실앞에 내놓나요?,12038358,2024.11.13.,463,N/A
N/A,12038358,N/A,N/A,N/A
단천 빨리 조기발표 제발 내일이라도🙏,대학보내주ㅕㅕ,2024.11.13.,264,N/A
N/A,대학보내주ㅕㅕ,N/A,N/A,N/A
국어 5등급 뜨려면,yaw,2024.11.13.,253,N/A
N/A,yaw,N/A,N/A,N/A
제발 가채점표 스티커 지금 붙이지마세요!!!,이대유교과25학번,2024.11.13.,958,N/A
N/A,이대유교과25학번,N/A,N/A,N/A
수능때 책상서랍사용 가능한가요?,조신하게 수시하자,2024.11.13.,245,N/A
N/A,조신하게 수시하자,N/A,N/A,N/A
지방(수도권)4년제vs인서울 전문대,ppoqq,2024.11.13.,226,N/A
N/A,ppoqq,N/A,N/A,N/A
수능장 연필 질문,ㅇㅇㅇㅇ99,2024.11.13.,200,N/A
N/A,ㅇㅇㅇㅇ99,N/A,N/A,N/A
을지대ㅠㅠ1차 합격..,lllllIIIIIlllllIlIlI,2024.11.13.,996,N/A
N/A,lllllIIIIIlllllIlIlI,N/A,N/A,N/A
혀녀기응애공주들 수능질문 탑10,감자깡oO,2024.11.13.,122,N/A
N/A,감자깡oO,N/A,N/A,N/A
[문제질문] (생윤)실천윤리학도 도덕규범을 '제시'할 수 있나요?,시고르자브종,2024.11.13.,52,N/A
N/A,시고르자브종,N/A,N/A,N/A
정법 소년범,Viet25,2024.11.13.,109,N/A
N/A,Viet25,N/A,N/A,N/A
건대 조발 할까요?,MANGOJAM,2024.11.13.,351,N/A
N/A,MANGOJAM,N/A,N/A,N/A
가채점표 변형,일공칠,2024.11.13.,225,N/A
N/A,일공칠,N/A,N/A,N/A
수시 원서 직년사진,lIlIIIlIIllI,2024.11.13.,100,N/A
N/A,lIlIIIlIIllI,N/A,N/A,N/A
찍기특강,안녕하세요12a,2024.11.13.,284,N/A
N/A,안녕하세요12a,N/A,N/A,N/A
가채점표,대학붙자자,2024.11.13.,129,N/A
N/A,대학붙자자,N/A,N/A,N/A
제발 그만 하셨으면 좋겠습니다.,신고게스탭 Tim Cook,2024.11.13.,1080,N/A
N/A,신고게스탭 Tim Cook,N/A,N/A,N/A
지멜,시작이없으면끝이없ㄷ,2024.11.13.,32,N/A
N/A,시작이없으면끝이없ㄷ,N/A,N/A,N/A
시험 중간에 콧물 나면,너에게내세상을줄게,2024.11.13.,349,N/A
N/A,너에게내세상을줄게,N/A,N/A,N/A
러셀 모의수능,Llililiiillliii,2024.11.13.,103,N/A
N/A,Llililiiillliii,N/A,N/A,N/A
수능 중도포기,대학가고싶다람지렁ㅇ,2024.11.13.,322,N/A
N/A,대학가고싶다람지렁ㅇ,N/A,N/A,N/A
수능때 앞에 시간표 붙어있나요??,IIlIIIIlIlIIIIlll,2024.11.13.,359,N/A
N/A,IIlIIIIlIlIIIIlll,N/A,N/A,N/A
다들 내일 몇시,IlllIlIlllllIlllllll,2024.11.13.,292,N/A
N/A,IlllIlIlllllIlllllll,N/A,N/A,N/A
한국사 4등급 벼락치기,starhahaha,2024.11.13.,406,N/A
N/A,starhahaha,N/A,N/A,N/A
첫수능 질문!,주쿵이,2024.11.13.,262,N/A
N/A,주쿵이,N/A,N/A,N/A
수능 탐구 문제지 뺄 때,liiliiIIIIIIII,2024.11.13.,207,N/A
N/A,liiliiIIIIIIII,N/A,N/A,N/A
대학 등록,낭뇽h,2024.11.13.,87,N/A
N/A,낭뇽h,N/A,N/A,N/A
수험표랑 신분증,봄여어어름가을겨어울,2024.11.13.,104,N/A
N/A,봄여어어름가을겨어울,N/A,N/A,N/A
을지대 1차,을지대 붙여주세요ㅜ,2024.11.13.,620,N/A
N/A,을지대 붙여주세요ㅜ,N/A,N/A,N/A
수능장에 핫팩 가져가도 되죠~~?,행복할꼬야,2024.11.13.,404,N/A
N/A,행복할꼬야,N/A,N/A,N/A
생윤 평가원 모고,06606060600,2024.11.13.,79,N/A
N/A,06606060600,N/A,N/A,N/A
최저,희야dgd,2024.11.13.,120,N/A
N/A,희야dgd,N/A,N/A,N/A
탐구,quokkaaa,2024.11.13.,60,N/A
N/A,quokkaaa,N/A,N/A,N/A
수능전 국어 공부,lllliillliki,2024.11.13.,151,N/A
N/A,lllliillliki,N/A,N/A,N/A
강원대 졸업생의 후기 및 취업 현실,어아아아,2024.11.13.,721,N/A
N/A,어아아아,N/A,N/A,N/A
생윤 질문,교학공,2024.11.13.,71,N/A
N/A,교학공,N/A,N/A,N/A
서울여자간호대학교 독자전형 최초합,혜라ㅣ,2024.11.13.,60,N/A
N/A,혜라ㅣ,N/A,N/A,N/A
경북대 합격 기원 14일차,KNU 낸테 와뿌라 마,2024.11.13.,118,N/A
N/A,KNU 낸테 와뿌라 마,N/A,N/A,N/A
[미대 수시] 수시 4관왕,갖먀,2024.11.13.,1891,N/A
N/A,갖먀,N/A,N/A,N/A
칸트,시작이없으면끝이없ㄷ,2024.11.13.,41,N/A
N/A,시작이없으면끝이없ㄷ,N/A,N/A,N/A
수시납치,jjjjjjjjhhh,2024.11.13.,507,N/A
N/A,jjjjjjjjhhh,N/A,N/A,N/A
수능탐구,대학뽑아주세요,2024.11.13.,142,N/A
N/A,대학뽑아주세요,N/A,N/A,N/A
수능날 에어팟,lllliillliki,2024.11.13.,423,N/A
N/A,lllliillliki,N/A,N/A,N/A
가입인사드립니다!!,삼둥이마미,2024.11.13.,8,N/A
N/A,삼둥이마미,N/A,N/A,N/A
수학 포기각서 자습,lllliillliki,2024.11.13.,370,N/A
N/A,lllliillliki,N/A,N/A,N/A
을지대 치위생,0o000ooo00,2024.11.13.,243,N/A
N/A,0o000ooo00,N/A,N/A,N/A
수험표 뒤에 줄 그어서 가채점 하는 것도 감독관께 여쭤봐여하나요??,illillilililili,2024.11.13.,455,N/A
N/A,illillilililili,N/A,N/A,N/A
단대 최초합,요아정사줘,2024.11.13.,751,N/A
N/A,요아정사줘,N/A,N/A,N/A
"논술,수능 수험번호 앞네자리 제 생일이에요",iamqueen1,2024.11.13.,188,N/A
N/A,iamqueen1,N/A,N/A,N/A
을지대 조발,askq,2024.11.13.,351,N/A
N/A,askq,N/A,N/A,N/A
수험표 뒤에 줄 그어서 가채점,mouthseeart,2024.11.13.,239,N/A
N/A,mouthseeart,N/A,N/A,N/A
가채점표,재수네버에버,2024.11.13.,168,N/A
N/A,재수네버에버,N/A,N/A,N/A
Omr,수능 못 보면 북침,2024.11.13.,64,N/A
N/A,수능 못 보면 북침,N/A,N/A,N/A
내일 수능 때 모자 가능한가요?,AMOOTEUN,2024.11.13.,431,N/A
N/A,AMOOTEUN,N/A,N/A,N/A
강서대 강원대 한양에리,도라에몽1864,2024.11.13.,248,N/A
N/A,도라에몽1864,N/A,N/A,N/A
인문논술 첨삭 도와드립니다,bllllwww,2024.11.13.,61,N/A
N/A,bllllwww,N/A,N/A,N/A
수능 전날 지구 개념,땡때ㄸ,2024.11.13.,171,N/A
N/A,땡때ㄸ,N/A,N/A,N/A
내일 수능 쌍지,liiliiiiliiiliill,2024.11.13.,109,N/A
N/A,liiliiiiliiiliill,N/A,N/A,N/A
급해요 ㅜㅜ 수능 질문!,수도권거주,2024.11.13.,376,N/A
N/A,수도권거주,N/A,N/A,N/A
[미대 정시] 미대 정시 한국사,라히비,2024.11.13.,297,N/A
N/A,라히비,N/A,N/A,N/A
시험보는 도중 초콜릿 먹음 안되는거죠?,인서울가자그,2024.11.13.,689,N/A
N/A,인서울가자그,N/A,N/A,N/A
탐구시간때 시험지에 수험번호 작성질문 있습니다.,곰곰23,2024.11.13.,176,N/A
N/A,곰곰23,N/A,N/A,N/A
생윤 수능 난이도,ㅇㅈ이,2024.11.13.,240,N/A
N/A,ㅇㅈ이,N/A,N/A,N/A
다들 영어,햄슈터,2024.11.13.,366,N/A
N/A,햄슈터,N/A,N/A,N/A
자꾸 경제지문 나온다는 찌라시가 들리는데,둉둉둉그란,2024.11.13.,565,N/A
N/A,둉둉둉그란,N/A,N/A,N/A
영어 시험,illllll123,2024.11.13.,105,N/A
N/A,illllll123,N/A,N/A,N/A
사문 질문,염소는음메한다,2024.11.13.,105,N/A
N/A,염소는음메한다,N/A,N/A,N/A
같은 학교 농어촌과 면접형,구운감,2024.11.13.,74,N/A
N/A,구운감,N/A,N/A,N/A
여대 4장이나 썼는데,구운시디,2024.11.13.,2977,N/A
N/A,구운시디,N/A,N/A,N/A
수능 omr 선택과목,dlwlsfl,2024.11.13.,70,N/A
N/A,dlwlsfl,N/A,N/A,N/A
[미대 정시] 예고생인데 정시 수능으로.....,슈퍼맨너구리,2024.11.13.,530,N/A
N/A,슈퍼맨너구리,N/A,N/A,N/A
전문대 지원 할려는데 도움좀 부탁드립니다,통통부은성적,2024.11.13.,162,N/A
N/A,통통부은성적,N/A,N/A,N/A
스토리에 수험번호 노출됐는데,하루루루루루,2024.11.13.,1129,N/A
N/A,하루루루루루,N/A,N/A,N/A
극동대 간호,도디옹옹,2024.11.13.,437,N/A
N/A,도디옹옹,N/A,N/A,N/A
서강대 수리논술 시작 시각이,Doity,2024.11.13.,112,N/A
N/A,Doity,N/A,N/A,N/A
경기대🙏,수오도,2024.11.13.,748,N/A
N/A,수오도,N/A,N/A,N/A
고3 화작 내신대비방법,ice9626,2024.11.13.,43,N/A
N/A,ice9626,N/A,N/A,N/A
6종합,문과1등은무슨,2024.11.13.,219,N/A
N/A,문과1등은무슨,N/A,N/A,N/A
홀수형 ㄴㅇㅅ,깅 유,2024.11.13.,105,N/A
N/A,깅 유,N/A,N/A,N/A
수능 한 반에 28명씩 보는 거 아닌가요?,1010111,2024.11.13.,818,N/A
N/A,1010111,N/A,N/A,N/A
수능 신용카드,RVLO,2024.11.13.,211,N/A
N/A,RVLO,N/A,N/A,N/A
경복대 예비,기앙모띠,2024.11.13.,126,N/A
N/A,기앙모띠,N/A,N/A,N/A
저만 수험표가 a4용지 재질인가요?,lllililillililillil,2024.11.13.,424,N/A
N/A,lllililillililillil,N/A,N/A,N/A
[2025학년도] 대학수학능력시험 수험표,초등학교 6학년 l진l,2024.11.13.,718,N/A
N/A,초등학교 6학년 l진l,N/A,N/A,N/A
[충남권] 배재대 vs 전주대,IIIllIllIllllII,2024.11.13.,61,N/A
N/A,IIIllIllIllllII,N/A,N/A,N/A
건국 동국 숙명은 취향대로 가도 되나요?,고양이는야옹야,2024.11.13.,1265,N/A
N/A,고양이는야옹야,N/A,N/A,N/A
내일 히터 틀까요?,그대학가고싶다,2024.11.13.,541,N/A
N/A,그대학가고싶다,N/A,N/A,N/A
영어 모의고사 소소한 팁,물리 노베1등급 7일컷,2024.11.13.,333,N/A
N/A,물리 노베1등급 7일컷,N/A,N/A,N/A
가채점표,최저맞춰야된다무조껀,2024.11.13.,325,N/A
N/A,최저맞춰야된다무조껀,N/A,N/A,N/A
샤프심통ㅠㅠㅠㅠ,완전럭키비키쟈나,2024.11.13.,311,N/A
N/A,완전럭키비키쟈나,N/A,N/A,N/A
[충남권] 남서울대 교과면접 치위생 빠지시는 분,제발한번만도와주세요,2024.11.13.,58,N/A
N/A,제발한번만도와주세요,N/A,N/A,N/A
예열지문 걍 풀엇던 실모 들고가도 될까요,미문,2024.11.13.,283,N/A
N/A,미문,N/A,N/A,N/A
느낌상 홀짝 반반이 아닌 것 같은데..,콜콜콜ㅇ,2024.11.13.,1072,N/A
N/A,콜콜콜ㅇ,N/A,N/A,N/A
숙대 숭실대,가람 06,2024.11.13.,473,N/A
N/A,가람 06,N/A,N/A,N/A
수능 파이팅,김민저이이,2024.11.13.,39,N/A
N/A,김민저이이,N/A,N/A,N/A
중계 관리형 독서실 알바 안쓰는 곳 찾아요~,미누서이,2024.11.13.,259,N/A
N/A,미누서이,N/A,N/A,N/A
가채점 작성,영어만 panda,2024.11.13.,306,N/A
N/A,영어만 panda,N/A,N/A,N/A
화작풀고,lIlIIlIIlIIllI,2024.11.13.,132,N/A
N/A,lIlIIlIIlIIllI,N/A,N/A,N/A
수능 전날에,illlililli,2024.11.13.,231,N/A
N/A,illlililli,N/A,N/A,N/A
인하대 아태물류 1차 합격,티나게티나,2024.11.13.,202,N/A
N/A,티나게티나,N/A,N/A,N/A
경기대 조발,연봉5000천만원,2024.11.13.,936,N/A
N/A,연봉5000천만원,N/A,N/A,N/A
가채점표 칸 만들어 두는 거 언제?,운빈희,2024.11.13.,493,N/A
N/A,운빈희,N/A,N/A,N/A
스테이플러,Rau0627,2024.11.13.,85,N/A
N/A,Rau0627,N/A,N/A,N/A
같은 고사실 선택 과목 같나요?,IIIIlIlllIlIIl,2024.11.13.,302,N/A
N/A,IIIIlIlllIlIIl,N/A,N/A,N/A
수능볼때 맨 뒤에 감독관 몇명 있나요??,뀨뀨밍밀밍,2024.11.13.,371,N/A
N/A,뀨뀨밍밀밍,N/A,N/A,N/A
서경대 최저 수능,dconk23,2024.11.13.,96,N/A
N/A,dconk23,N/A,N/A,N/A
수능 시계,와이리노,2024.11.13.,226,N/A
N/A,와이리노,N/A,N/A,N/A
창가쪽 자리 영어듣기,딩이줘,2024.11.13.,270,N/A
N/A,딩이줘,N/A,N/A,N/A
소지품,공수린,2024.11.13.,89,N/A
N/A,공수린,N/A,N/A,N/A
과기대 vs 숭실대 vs 국민대,아이고 귀찮아라,2024.11.13.,552,N/A
N/A,아이고 귀찮아라,N/A,N/A,N/A
수능끝나고 바로 메가스터디 채점하면 점수 뜨나요??,kyehye,2024.11.13.,429,N/A
N/A,kyehye,N/A,N/A,N/A
국무총리의 권한,반수가능할지도,2024.11.13.,100,N/A
N/A,반수가능할지도,N/A,N/A,N/A
수능때 핸드폰 못가져 가나요?,카프리선,2024.11.13.,630,N/A
N/A,카프리선,N/A,N/A,N/A
수능 신분증,torry47,2024.11.13.,175,N/A
N/A,torry47,N/A,N/A,N/A
아트앤디자인 대학제공우수작이게맞나요,서양화현역뚫기,2024.11.13.,1004,N/A
N/A,서양화현역뚫기,N/A,N/A,N/A
수험표랑 신분증,eksems,2024.11.13.,197,N/A
N/A,eksems,N/A,N/A,N/A
소지품 검사 다받고 서랍에 넣어도 되죠?,greentia,2024.11.13.,170,N/A
N/A,greentia,N/A,N/A,N/A
[미대 정시] 수능 수학,고3생존기,2024.11.13.,148,N/A
N/A,고3생존기,N/A,N/A,N/A
부천대 간호,jmkanta,2024.11.13.,51,N/A
N/A,jmkanta,N/A,N/A,N/A
고사장 집에서 8키로+짝수형,허허수,2024.11.13.,478,N/A
N/A,허허수,N/A,N/A,N/A
수능 수학 보는 흑우들 없제?? ㅋㅋ,대학가자유민아,2024.11.13.,448,N/A
N/A,대학가자유민아,N/A,N/A,N/A
사회문화 개념 질문,대학보내죠잉ㅜ,2024.11.13.,139,N/A
N/A,대학보내죠잉ㅜ,N/A,N/A,N/A
다들 내일 겉옷 뭐입고 가시나요?,tftfn,2024.11.13.,502,N/A
N/A,tftfn,N/A,N/A,N/A
스피커 점검 다 하니까 괜찮겠죠?,855,2024.11.13.,244,N/A
N/A,855,N/A,N/A,N/A
또짝수!!!!!,llililiiililiiiiil,2024.11.13.,274,N/A
N/A,llililiiililiiiiil,N/A,N/A,N/A
수능 비강확장밴드,짱복이,2024.11.13.,54,N/A
N/A,짱복이,N/A,N/A,N/A
[미대 수시] 수능,냥뇽녕냥닝뇽,2024.11.13.,456,N/A
N/A,냥뇽녕냥닝뇽,N/A,N/A,N/A
짝수형 걱정되는 사람들 보세요,호이태,2024.11.13.,945,N/A
N/A,호이태,N/A,N/A,N/A
짝수 자리 20번 어디임?,gongjur5rrrrw,2024.11.13.,133,N/A
N/A,gongjur5rrrrw,N/A,N/A,N/A
가입인사합니다,멍딱지,2024.11.13.,15,N/A
N/A,멍딱지,N/A,N/A,N/A
책상에 필통 놔도 되는거죠..?,liliiiiliilli,2024.11.13.,518,N/A
N/A,liliiiiliilli,N/A,N/A,N/A
[미대 수시] 재수나 반수,희대가고십,2024.11.13.,372,N/A
N/A,희대가고십,N/A,N/A,N/A
22번자리 어떨까요,정시로외대노어노문,2024.11.13.,318,N/A
N/A,정시로외대노어노문,N/A,N/A,N/A
대치동영어비밀병기 찍기특강 ㄱㄱ,설 의 녀,2024.11.13.,181,N/A
N/A,설 의 녀,N/A,N/A,N/A
자리배치표 확실하게 어떤건가요?,핸들이고장난8t트럭,2024.11.13.,383,N/A
N/A,핸들이고장난8t트럭,N/A,N/A,N/A
수능볼때 코푼 휴지 어디에 놓으면 될까요?,꿈을 현실로25,2024.11.13.,567,N/A
N/A,꿈을 현실로25,N/A,N/A,N/A
짝수 수학 선지,IiIiliIiiIiIilIli,2024.11.13.,251,N/A
N/A,IiIiliIiiIiIilIli,N/A,N/A,N/A
[빠지실분] 인천가톨릭대 인가대 자유전공 빠지실분..,다망해라,2024.11.13.,192,N/A
N/A,다망해라,N/A,N/A,N/A
"내신,수능 없이 수도권 상위 대학으로의 빠르고 확실한 방법",wooyooo7979,2024.11.13.,110,N/A
N/A,wooyooo7979,N/A,N/A,N/A
수능 때 고사장,으아앙0214,2024.11.13.,365,N/A
N/A,으아앙0214,N/A,N/A,N/A
서울성대근처 숙소 추천해주세요,유지도,2024.11.13.,86,N/A
N/A,유지도,N/A,N/A,N/A
수능날 점심시간 혼자 먹나요???,평범한 댓글러,2024.11.13.,770,N/A
N/A,평범한 댓글러,N/A,N/A,N/A
짝수 2번자리 어떠한가요,루뽕삐뽕,2024.11.13.,565,N/A
N/A,루뽕삐뽕,N/A,N/A,N/A
"담요, 초콜릿, 단어장",25학번임,2024.11.13.,170,N/A
N/A,25학번임,N/A,N/A,N/A
어떻게 하는게 더 좋을까요 투표부탁드랴요,대학붙여주세요제발ㅇ,2024.11.13.,81,N/A
N/A,대학붙여주세요제발ㅇ,N/A,N/A,N/A
화성의과학대학교,유규르트,2024.11.13.,73,N/A
N/A,유규르트,N/A,N/A,N/A
예일여고 학생분 계신가요,Iiiiiiiiiillliiiiii,2024.11.13.,77,N/A
N/A,Iiiiiiiiiillliiiiii,N/A,N/A,N/A
엇 근데 가채점표 규정 바꺘나요?,수수슈슈퍽노바,2024.11.13.,4959,N/A
N/A,수수슈슈퍽노바,N/A,N/A,N/A
수능 맨뒷자리어떤가요,대학보내주라라라,2024.11.13.,301,N/A
N/A,대학보내주라라라,N/A,N/A,N/A
자리배치표 이거,다두다두,2024.11.13.,666,N/A
N/A,다두다두,N/A,N/A,N/A
수능날 수정 테이프,아니진짜어디가지,2024.11.13.,180,N/A
N/A,아니진짜어디가지,N/A,N/A,N/A
긴장이 너무 안돼요ㅋㅋㅋㅠㅠㅠ,엡어,2024.11.13.,232,N/A
N/A,엡어,N/A,N/A,N/A
켄텍 1차 조기발표,홍홍승한,2024.11.13.,176,N/A
N/A,홍홍승한,N/A,N/A,N/A
생윤 헷갈리는거 질문,3141592653,2024.11.13.,185,N/A
N/A,3141592653,N/A,N/A,N/A
짝수 28번,대학 좀 바로 가자,2024.11.13.,217,N/A
N/A,대학 좀 바로 가자,N/A,N/A,N/A
[문제질문] 생윤 질문,ㅍㄴㄷ,2024.11.13.,54,N/A
N/A,ㅍㄴㄷ,N/A,N/A,N/A
홀수형 7번자리 맨 뒤 맞나요?,Yuuriik,2024.11.13.,313,N/A
N/A,Yuuriik,N/A,N/A,N/A
같은학교 ㅋㅋㅋㅋ,블루베리 에이드,2024.11.13.,476,N/A
N/A,블루베리 에이드,N/A,N/A,N/A
3합8 최저 무조건!!맞춘다!!,수시3관왕하고싶다,2024.11.13.,255,N/A
N/A,수시3관왕하고싶다,N/A,N/A,N/A
가천대 최저,xxuni,2024.11.13.,161,N/A
N/A,xxuni,N/A,N/A,N/A
짝수22자리어때요,존나,2024.11.13.,403,N/A
N/A,존나,N/A,N/A,N/A
수험장에는 몇시까지 입실하는게 좋을까요,스폰,2024.11.13.,428,N/A
N/A,스폰,N/A,N/A,N/A
짝수형 18번 자리 어떤가요??,llooollooll,2024.11.13.,111,N/A
N/A,llooollooll,N/A,N/A,N/A
"[미대 수시] 계명대, 경희대 수시 수능응시여부",뽀로로만세,2024.11.13.,348,N/A
N/A,뽀로로만세,N/A,N/A,N/A
에리카는 조발 안하나,소다211,2024.11.13.,108,N/A
N/A,소다211,N/A,N/A,N/A
제2외국어는 서울대 지원생 말고는 안 보나요?,ilililililulll,2024.11.13.,399,N/A
N/A,ilililililulll,N/A,N/A,N/A
벌써부터 두근두근,illllilllili,2024.11.13.,92,N/A
N/A,illllilllili,N/A,N/A,N/A
인하대 경제학과,행복영맘,2024.11.13.,124,N/A
N/A,행복영맘,N/A,N/A,N/A
공부에 몰입하는 법,연필로 끄적끄적,2024.11.13.,54,N/A
N/A,연필로 끄적끄적,N/A,N/A,N/A
"대가대, 전주대 국어교육과 둘중 어디가 좋을까요?",kjkkwak,2024.11.13.,74,N/A
N/A,kjkkwak,N/A,N/A,N/A
짝수형걸렸는데 선배님들 ㅜㅜㅜ,lllllIlllIIIIllllI,2024.11.13.,1026,N/A
N/A,lllllIlllIIIIllllI,N/A,N/A,N/A
초보맘,채채합격,2024.11.13.,94,N/A
N/A,채채합격,N/A,N/A,N/A
허리아플때 뭐쓰세요,으쌰쌰으쌰,2024.11.13.,48,N/A
N/A,으쌰쌰으쌰,N/A,N/A,N/A
가채점표 제발,almdje,2024.11.13.,498,N/A
N/A,almdje,N/A,N/A,N/A
시발 짝수,Hhdjdidiw,2024.11.13.,744,N/A
N/A,Hhdjdidiw,N/A,N/A,N/A
[미대 정시] 수시 2차,가자가자한번에,2024.11.13.,210,N/A
N/A,가자가자한번에,N/A,N/A,N/A
남서울대식 3.2면 면접으로 간호 힘들까요?,말하는감자머리,2024.11.13.,185,N/A
N/A,말하는감자머리,N/A,N/A,N/A
"제발 경기대,,붙여주세요",꿍꽁갈,2024.11.13.,385,N/A
N/A,꿍꽁갈,N/A,N/A,N/A
현재 재학중인 학교가 있는데,iliilillilililililil,2024.11.13.,430,N/A
N/A,iliilillilililililil,N/A,N/A,N/A
사문 수완 실모 푸는게 좋나요?,lllIIIIllIIIll,2024.11.13.,171,N/A
N/A,lllIIIIllIIIll,N/A,N/A,N/A
혹시 한기대 작년 수시추합 몇월까지 돌았는지 아시나요?,꿀돼지꽃돼지,2024.11.13.,179,N/A
N/A,꿀돼지꽃돼지,N/A,N/A,N/A
짝수형이면 영어 찍기 안먹히나요,이이ㅣ잉이이,2024.11.13.,1331,N/A
N/A,이이ㅣ잉이이,N/A,N/A,N/A
재수생 모교에 수험표 받으러 몇 시까지 가야하나요?,구우웃,2024.11.13.,520,N/A
N/A,구우웃,N/A,N/A,N/A
본죽 메뉴 ㅊㅊ,11llll11ll,2024.11.13.,199,N/A
N/A,11llll11ll,N/A,N/A,N/A
예비소집을 못가서 수능 응시를 못하는 변수 발생..,김미레,2024.11.13.,1013,N/A
N/A,김미레,N/A,N/A,N/A
지금 생리 터졌는데 어떡하나요...ㅠㅠ,둥근해미친것또떴네,2024.11.13.,3686,N/A
N/A,둥근해미친것또떴네,N/A,N/A,N/A
오늘 공부하시나요?,합격시켜주세요갈거야,2024.11.13.,452,N/A
N/A,합격시켜주세요갈거야,N/A,N/A,N/A
상명대 생예쓰신분들 내신 어떻게되시나요,쁘띠프티,2024.11.13.,298,N/A
N/A,쁘띠프티,N/A,N/A,N/A
수시합격하면 수능안봐도 되요?,다희천사,2024.11.13.,2944,N/A
N/A,다희천사,N/A,N/A,N/A
중앙대 학종 면접 1차 조기발표?,뿡뿡걸,2024.11.13.,384,N/A
N/A,뿡뿡걸,N/A,N/A,N/A
저는 수능전날에 뭐했냐면요,자유와진리,2024.11.13.,722,N/A
